Step,Sensor1,Sensor3,Sensor4,Sensor5,Sensor7,Sensor9,Sensor10,Sensor12
454,319,326,465,744,643,716,507,569
455,317,313,459,725,622,701,494,562
456,320,322,472,742,629,709,493,570
457,318,314,461,722,618,705,489,564
458,323,324,468,740,621,708,491,566
459,313,313,457,724,624,704,487,567
460,327,325,471,748,626,713,492,570
461,317,314,460,717,617,705,486,562
462,316,321,466,745,642,714,511,576
463,316,315,456,728,619,705,491,567
464,312,318,462,733,628,707,495,573
465,315,314,460,723,622,707,490,567
466,317,322,470,738,630,712,494,570
467,317,314,460,726,622,705,485,566
468,318,323,467,734,633,712,493,571
469,321,314,464,724,620,704,487,566
470,321,325,463,743,646,711,502,566
471,316,314,461,720,624,708,488,570
472,316,319,464,738,626,712,495,567
473,321,315,458,725,620,701,485,564
474,323,324,466,749,628,716,495,568
475,317,314,462,724,621,710,491,560
476,320,328,470,756,640,715,503,573
477,316,315,460,725,619,705,489,564
478,321,313,459,745,630,707,498,565
479,325,318,462,726,617,707,486,567
480,319,318,464,739,628,712,495,567
481,311,310,455,721,622,705,486,565
482,319,326,462,739,633,709,496,565
483,317,312,458,724,626,702,484,568
484,315,316,460,730,629,713,495,569
485,317,317,458,729,620,707,491,566
486,323,330,471,758,635,713,497,570
487,318,314,458,723,621,704,488,566
488,324,323,471,754,642,715,508,574
489,319,313,458,725,621,708,487,563
490,322,325,467,747,635,714,501,567
491,317,318,461,726,621,705,488,566
492,326,330,468,757,635,718,498,570
493,318,313,459,726,618,705,490,564
494,322,322,466,751,632,714,496,568
495,317,315,461,724,622,710,490,564
496,322,323,466,744,630,712,498,569
497,318,310,458,725,618,704,490,563
498,318,321,462,745,623,708,494,565
499,310,316,461,725,624,705,489,561
500,314,318,466,737,644,712,502,570
501,314,311,457,727,621,701,489,567
502,318,313,464,741,635,711,492,566
503,312,311,458,723,617,702,483,567
504,323,328,468,750,629,712,493,570
505,319,311,458,724,623,708,489,568
506,318,328,466,761,637,715,493,568
507,319,318,460,728,618,707,490,562
508,323,333,462,751,621,713,490,570
509,319,315,457,724,620,704,488,566
510,323,320,465,750,630,714,499,570
511,317,314,462,725,622,709,494,565
512,322,321,470,747,635,714,498,563
513,317,315,460,721,620,706,490,567
514,322,335,470,757,645,721,498,575
515,316,311,460,725,622,708,488,561
516,320,325,466,740,624,713,488,571
517,318,309,461,726,619,711,486,567
518,318,324,461,734,638,712,503,569
519,320,316,461,728,623,709,486,569
520,321,328,465,743,634,716,497,566
521,315,321,459,727,621,708,487,565
522,322,336,468,757,638,718,500,573
523,319,318,459,726,622,707,483,567
524,322,335,467,758,627,715,491,574
525,318,319,456,729,621,705,488,567
526,321,334,466,753,633,709,499,569
527,312,322,462,727,622,710,491,566
528,328,328,469,760,640,717,504,574
529,316,319,463,728,620,705,492,568
530,321,329,468,743,629,712,492,568
531,318,318,460,730,622,707,490,565
532,318,322,455,740,627,706,492,566
533,318,318,457,729,622,704,488,564
534,323,334,462,755,631,714,498,566
535,321,317,459,725,620,703,491,565
536,326,326,466,742,635,718,504,568
537,320,318,459,727,623,707,489,566
538,325,322,470,748,637,718,500,572
539,315,320,457,733,621,707,489,569
540,324,333,464,751,628,708,492,562
541,316,317,460,727,622,705,488,567
542,325,334,471,763,636,717,499,570
543,317,315,462,730,620,707,486,563
544,322,335,465,749,632,718,503,570
545,319,319,461,730,622,707,491,567
546,319,323,461,739,620,707,490,569
547,315,318,462,730,622,707,490,567
548,319,318,462,739,628,706,494,570
549,316,321,457,728,622,706,491,564
550,313,321,457,733,622,707,493,568
551,320,316,460,729,627,707,497,568
552,324,341,465,759,636,716,503,567
553,314,316,463,725,623,711,493,565
554,323,328,462,744,634,715,495,573
555,318,320,459,731,627,710,490,569
556,323,323,462,742,627,711,501,569
557,316,318,461,729,627,708,489,569
558,325,334,471,766,643,716,505,571
559,319,319,465,732,621,706,493,566
560,317,326,463,744,616,713,490,570
561,317,317,460,728,619,708,485,565
562,319,330,461,751,617,714,487,568
563,316,316,463,725,615,710,487,570
564,328,338,471,758,627,717,495,573
565,314,318,455,727,614,713,489,565
566,322,333,466,749,623,714,493,571
567,319,318,456,727,619,704,487,569
568,324,332,467,758,628,707,492,568
569,315,318,458,727,618,708,492,567
570,323,322,463,738,623,705,491,570
571,314,320,464,723,618,705,485,566
572,322,325,467,749,632,712,497,571
573,315,319,459,725,617,710,485,568
574,320,322,465,746,635,713,504,571
575,317,320,459,727,620,710,484,565
576,325,325,470,751,634,713,496,569
577,317,318,457,731,620,710,489,567
578,321,332,462,754,629,711,500,571
579,319,315,458,729,621,710,483,569
580,319,327,457,746,639,716,501,577
581,314,315,457,731,620,709,489,567
