Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
75,419229,6918,412311,488877,6918,481959,540797,6918,533879,560707,6918,553789,642981,6918,636063,529280,6918,522362,370924,6918,364006,366109,6918,359191,452693,6918,445775,277656,6918,270737,332895,6918,325977,505259,6918,498341
76,474271,7099,467172,558736,7099,551636,579063,7099,571963,637809,7099,630710,756963,7099,749863,594159,7099,587059,425355,7099,418255,395762,7099,388662,446054,7099,438954,309903,7099,302803,346393,7099,339293,485870,7099,478770
77,433805,6958,426847,503874,6958,496916,554524,6958,547565,580592,6958,573633,663015,6958,656056,542143,6958,535185,375495,6958,368536,365386,6958,358427,439831,6958,432872,279194,6958,272235,328940,6958,321981,488619,6958,481661
78,466584,7058,459525,543892,7058,536833,574836,7058,567777,626778,7058,619719,728683,7058,721624,578246,7058,571187,406854,7058,399795,379137,7058,372078,427589,7058,420530,296540,7058,289481,331617,7058,324558,463745,7058,456687
79,431440,7001,424438,496709,7001,489708,545353,7001,538351,578800,7001,571799,652853,7001,645851,531470,7001,524469,382561,7001,375559,358564,7001,351563,416794,7001,409792,281531,7001,274529,319350,7001,312348,458240,7001,451238
80,480362,7220,473142,543151,7220,535931,558560,7220,551340,650852,7220,643631,730808,7220,723588,564756,7220,557536,446469,7220,439248,380072,7220,372852,387002,7220,379781,318324,7220,311103,324597,7220,317376,413727,7220,406506
81,438523,7054,431468,504598,7054,497543,546002,7054,538947,588892,7054,581837,666735,7054,659680,535751,7054,528696,381444,7054,374389,351538,7054,344483,393466,7054,386411,278383,7054,271328,309022,7054,301967,430555,7054,423500
82,454375,7124,447251,530155,7124,523031,551289,7124,544165,611011,7124,603887,715018,7124,707894,561049,7124,553925,395885,7124,388761,365712,7124,358588,404752,7124,397628,287388,7124,280264,317665,7124,310541,437647,7124,430523
83,415413,7054,408358,488775,7054,481720,536314,7054,529259,556236,7054,549181,645273,7054,638218,524611,7054,517556,372806,7054,365751,342328,7054,335273,383583,7054,376528,272334,7054,265279,301424,7054,294369,418724,7054,411669
84,488685,7222,481462,563679,7222,556457,572840,7222,565617,660015,7222,652792,765029,7222,757807,588394,7222,581171,432172,7222,424949,378504,7222,371281,388240,7222,381018,308422,7222,301199,320914,7222,313691,411588,7222,404365
85,418512,7103,411408,488175,7103,481071,535969,7103,528865,560939,7103,553835,642818,7103,635715,521827,7103,514724,373376,7103,366273,338461,7103,331357,373003,7103,365899,271655,7103,264551,296384,7103,289280,404959,7103,397856
86,446812,7146,439665,527823,7146,520676,560577,7146,553431,598563,7146,591416,706702,7146,699555,561490,7146,554343,377883,7146,370737,347219,7146,340073,375218,7146,368071,273401,7146,266255,298360,7146,291214,399627,7146,392481
87,433968,7112,426855,501041,7112,493929,541479,7112,534367,583395,7112,576283,662799,7112,655687,531073,7112,523961,389273,7112,382160,345665,7112,338553,370594,7112,363482,281273,7112,274161,300019,7112,292906,400090,7112,392977
88,486401,7198,479203,570745,7198,563547,583328,7198,576130,654086,7198,646888,775344,7198,768146,600244,7198,593046,407950,7198,400752,370572,7198,363374,389343,7198,382145,292500,7198,285302,313827,7198,306629,410440,7198,403242
89,424838,7112,417725,487173,7112,480060,528062,7112,520950,571006,7112,563893,642528,7112,635415,516001,7112,508889,375020,7112,367907,336855,7112,329742,366565,7112,359452,271824,7112,264712,293519,7112,286406,396819,7112,389707
90,494525,7321,487204,580537,7321,573215,585489,7321,578168,666595,7321,659274,792740,7321,785418,606857,7321,599535,427564,7321,420243,370979,7321,363657,365336,7321,358015,302569,7321,295248,308060,7321,300738,377015,7321,369694
91,432128,7155,424972,508003,7155,500847,557566,7155,550410,578308,7155,571152,669344,7155,662189,541881,7155,534725,372306,7155,365150,331676,7155,324520,348491,7155,341335,268187,7155,261031,284417,7155,277261,369742,7155,362586
92,480419,7292,473126,566805,7292,559513,574212,7292,566919,647241,7292,639949,773826,7292,766534,595098,7292,587806,423753,7292,416460,372269,7292,364977,377406,7292,370113,301919,7292,294627,313482,7292,306189,397018,7292,389725
93,431201,7155,424045,497915,7155,490759,534446,7155,527290,579443,7155,572287,660183,7155,653027,526149,7155,518993,376115,7155,368959,333624,7155,326468,351748,7155,344592,270726,7155,263570,286679,7155,279523,375445,7155,368289
94,520226,7382,512843,596986,7382,589604,584649,7382,577267,689030,7382,681647,815879,7382,808497,614103,7382,606721,452779,7382,445396,380457,7382,373074,359815,7382,352432,317725,7382,310343,312190,7382,304808,365156,7382,357774
95,444171,7210,436960,506927,7210,499716,540912,7210,533701,598843,7210,591632,671939,7210,664728,531197,7210,523986,398085,7210,390875,337031,7210,329820,335316,7210,328105,283122,7210,275911,285104,7210,277893,351888,7210,344677
96,448171,7207,440964,517248,7207,510040,546297,7207,539090,601788,7207,594580,689591,7207,682384,542854,7207,535646,363804,7207,356597,325407,7207,318200,333550,7207,326343,260221,7207,253013,274242,7207,267034,348962,7207,341755
97,421822,7164,414658,489601,7164,482437,534588,7164,527424,566005,7164,558841,644634,7164,637469,518725,7164,511561,369934,7164,362770,320965,7164,313801,327699,7164,320535,265009,7164,257845,273599,7164,266435,345987,7164,338823
98,482859,7382,475477,565849,7382,558467,569540,7382,562158,651134,7382,643752,772607,7382,765225,589693,7382,582311,416734,7382,409352,354201,7382,346819,335986,7382,328604,292860,7382,285478,290187,7382,282805,340047,7382,332665
99,434562,7202,427359,504019,7202,496816,544128,7202,536925,583081,7202,575878,666407,7202,659204,531689,7202,524486,367688,7202,360485,320117,7202,312914,321548,7202,314345,262381,7202,255178,270019,7202,262816,336027,7202,328824
100,457214,7235,449979,542825,7235,535590,559711,7235,552475,612048,7235,604813,735056,7235,727821,571176,7235,563941,353180,7235,345945,324293,7235,317057,328374,7235,321138,252395,7235,245160,269450,7235,262215,339504,7235,332269
101,415160,7171,407989,488129,7171,480958,532268,7171,525097,554655,7171,547484,644274,7171,637103,519067,7171,511896,336612,7171,329441,304938,7171,297766,317989,7171,310818,242530,7171,235359,259086,7171,251915,333883,7171,326711
102,456962,7300,449661,531907,7300,524606,541227,7300,533926,614657,7300,607357,721511,7300,714210,554907,7300,547606,370141,7300,362840,328321,7300,321020,326062,7300,318761,262564,7300,255263,271946,7300,264645,335238,7300,327937
103,422653,7171,415482,489156,7171,481985,536485,7171,529314,565148,7171,557977,641355,7171,634184,517635,7171,510463,334421,7171,327250,303728,7171,296557,317084,7171,309912,241220,7171,234049,258672,7171,251501,335011,7171,327839
104,451101,7322,443778,525445,7322,518123,545564,7322,538241,605857,7322,598535,706597,7322,699275,549564,7322,542241,363662,7322,356340,318745,7322,311423,310633,7322,303311,257431,7322,250109,262980,7322,255657,317062,7322,309740
