Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
33,1127648,5187,1122460,1911364,5187,1906177,1078791,5187,1073604,687563,5187,682375,2233842,5187,2228654,399139,5187,393952,615958,5187,610770,49509,5187,44322,301677,5187,296490,49509,5187,44322,37050,5187,31862,57118,5187,51931
34,1212659,5303,1207355,2068969,5303,2063665,1270849,5303,1265545,776109,5303,770805,2553804,5303,2548500,457729,5303,452425,494509,5303,489205,13143,5303,7839,347009,5303,341705,13143,5303,7839,10859,5303,5555,14608,5303,9304
35,1131451,5250,1126200,1934580,5250,1929330,1108471,5250,1103221,682778,5250,677527,2274288,5250,2269038,414039,5250,408789,594140,5250,588890,15463,5250,10213,316253,5250,311002,15463,5250,10213,12915,5250,7665,16731,5250,11481
36,1270814,5422,1265392,2186466,5422,2181044,1497629,5422,1492207,821515,5422,816093,2824590,5422,2819168,528620,5422,523198,349159,5422,343737,5422,5422,0,410205,5422,404783,5422,5422,0,5422,5422,0,5422,5422,0
37,1125205,5363,1119841,1955319,5363,1949955,1193225,5363,1187861,691413,5363,686049,2366493,5363,2361129,446933,5363,441569,498157,5363,492794,5363,5363,0,348260,5363,342896,5363,5363,0,5363,5363,0,5363,5363,0
38,1174619,5390,1169229,2036698,5390,2031307,1283564,5390,1278174,776041,5390,770650,2557559,5390,2552168,464581,5390,459190,414249,5390,408858,5390,5390,0,364125,5390,358735,5390,5390,0,5390,5390,0,5390,5390,0
39,1125205,5363,1119841,1955319,5363,1949955,1193225,5363,1187861,691413,5363,686049,2366493,5363,2361129,446933,5363,441569,498157,5363,492794,5363,5363,0,348260,5363,342896,5363,5363,0,5363,5363,0,5363,5363,0
40,1401522,5549,1395972,2456436,5549,2450887,1850581,5549,1845031,908625,5549,903076,3304577,5549,3299027,661052,5549,655503,207374,5549,201825,5549,5549,0,509544,5549,503994,5549,5549,0,5549,5549,0,5549,5549,0
41,1124116,5432,1118684,1971629,5432,1966196,1253975,5432,1248542,702237,5432,696804,2434163,5432,2428730,468803,5432,463370,432938,5432,427506,5432,5432,0,369561,5432,364129,5432,5432,0,5432,5432,0,5432,5432,0
42,1319167,5555,1313612,2259429,5555,2253874,1729654,5555,1724098,1241412,5555,1235856,3074098,5555,3068543,589535,5555,583980,294100,5555,288544,257761,5555,252206,458920,5555,453364,257761,5555,252206,383864,5555,378309,5555,5555,0
43,1127670,5506,1122163,1996988,5506,1991481,1321301,5506,1315794,1081240,5506,1075733,2514102,5506,2508595,493025,5506,487518,489202,5506,483695,248489,5506,242982,393283,5506,387776,248489,5506,242982,369980,5506,364473,5506,5506,0
44,1461545,5609,1455935,2551606,5609,2545996,1945076,5609,1939466,1395221,5609,1389612,3515922,5609,3510312,682250,5609,676640,261799,5609,256189,268517,5609,262907,520075,5609,514466,268517,5609,262907,399971,5609,394361,5609,5609,0
45,1128526,5517,1123009,2001028,5517,1995511,1330527,5517,1325010,1118250,5517,1112733,2525439,5517,2519922,496343,5517,490826,492418,5517,486901,271714,5517,266197,396543,5517,391026,271714,5517,266197,404813,5517,399296,5517,5517,0
46,1322758,5562,1317195,2243160,5562,2237598,1695878,5562,1690315,1304393,5562,1298831,3042225,5562,3036663,585927,5562,580365,358035,5562,352473,307395,5562,301832,425699,5562,420137,307395,5562,301832,458311,5562,452749,5562,5562,0
47,1130528,5537,1124991,2009635,5537,2004098,1349261,5537,1343724,1198019,5537,1192482,2548737,5537,2543199,503080,5537,497543,500831,5537,495293,321859,5537,316321,403168,5537,397631,321859,5537,316321,480020,5537,474482,5537,5537,0
48,1318224,5724,1312499,2311747,5724,2306022,1704691,5724,1698966,2124516,5724,2118791,3211994,5724,3206270,584201,5724,578476,464761,5724,459036,768183,5724,762458,467047,5724,461322,768183,5724,762458,1149412,5724,1143687,5724,5724,0
49,1150737,5661,1145076,2075343,5661,2069682,1466806,5661,1461144,1832202,5661,1826541,2702851,5661,2697190,545325,5661,539663,608151,5661,602489,722888,5661,717227,444922,5661,439260,722888,5661,717227,1081502,5661,1075841,5661,5661,0
50,1402081,5810,1396271,2460650,5810,2454840,1888447,5810,1882637,2644905,5810,2639095,3368906,5810,3363096,665766,5810,659956,703502,5810,697692,1142130,5810,1136320,518535,5810,512724,1142130,5810,1136320,1710290,5810,1704480,5810,5810,0
51,1150737,5661,1145076,2075343,5661,2069682,1466806,5661,1461144,1832202,5661,1826541,2702851,5661,2697190,545325,5661,539663,608151,5661,602489,722888,5661,717227,444922,5661,439260,722888,5661,717227,1081502,5661,1075841,5661,5661,0
52,1341102,5767,1335335,2346588,5767,2340821,1766559,5767,1760792,2494931,5767,2489164,3190578,5767,3184811,620539,5767,614772,690133,5767,684366,1066080,5767,1060313,485928,5767,480161,1066080,5767,1060313,1596237,5767,1590470,5767,5767,0
53,1150737,5661,1145076,2075343,5661,2069682,1466806,5661,1461144,1832202,5661,1826541,2702851,5661,2697190,545325,5661,539663,608151,5661,602489,722888,5661,717227,444922,5661,439260,722888,5661,717227,1081502,5661,1075841,5661,5661,0
54,1612382,5861,1606520,2853802,5861,2847940,2202891,5861,2197029,2690027,5861,2684165,4007855,5861,4001993,769021,5861,763159,543291,5861,537429,1021267,5861,1015405,603375,5861,597513,1021267,5861,1015405,1528970,5861,1523108,5861,5861,0
55,1164849,5719,1159130,2113674,5719,2107955,1523358,5719,1517639,2214046,5719,2208326,2781558,5719,2775839,565635,5719,559916,691083,5719,685364,965422,5719,959703,465116,5719,459396,965422,5719,959703,1445274,5719,1439555,5719,5719,0
56,1383803,5786,1378017,2399064,5786,2393278,1881295,5786,1875509,2483048,5786,2477262,3330517,5786,3324731,655331,5786,649544,616140,5786,610354,1042816,5786,1037030,493542,5786,487756,1042816,5786,1037030,1561331,5786,1555545,5786,5786,0
57,1168191,5731,1162460,2122343,5731,2116612,1535372,5731,1529640,2301177,5731,2295446,2798635,5731,2792904,569949,5731,564217,711154,5731,705423,1020832,5731,1015101,469414,5731,463682,1020832,5731,1015101,1528383,5731,1522652,5731,5731,0
58,1353696,5828,1347867,2489925,5828,2484097,1912873,5828,1907044,2880300,5828,2874471,3409476,5828,3403647,697196,5828,691367,709824,5828,703995,1448644,5828,1442815,587205,5828,581376,1448644,5828,1442815,2015717,5828,2009888,237330,5828,231501
