Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
70,183723,7140,176582,96894,7140,89753,47223,7140,40083,210968,7140,203828,105820,7140,98679,45743,7140,38602,77213,7140,70073,60675,7140,53535,53584,7140,46443,54400,7140,47259,50800,7140,43660,60193,7140,53053
71,180463,7115,173348,94285,7115,87170,45341,7115,38226,205207,7115,198091,101744,7115,94629,43590,7115,36475,54162,7115,47046,50325,7115,43210,49738,7115,42623,39106,7115,31991,42317,7115,35201,56742,7115,49627
72,147074,7007,140067,78558,7007,71551,39826,7007,32819,167506,7007,160499,85251,7007,78244,38765,7007,31758,47673,7007,40666,47998,7007,40991,54330,7007,47323,36066,7007,29059,43232,7007,36225,65842,7007,58835
73,148691,7018,141673,79377,7018,72358,40177,7018,33158,169827,7018,162808,86286,7018,79267,39125,7018,32107,48210,7018,41192,48399,7018,41381,54566,7018,47547,36395,7018,29376,43484,7018,36465,66024,7018,59006
74,139342,7078,132264,74256,7078,67178,37314,7078,30235,158587,7078,151509,80422,7078,73343,36253,7078,29175,44775,7078,37697,44044,7078,36965,47927,7078,40849,33689,7078,26611,39105,7078,32027,57334,7078,50256
75,139347,7078,132268,74267,7078,67189,37342,7078,30263,158591,7078,151513,80430,7078,73351,36270,7078,29192,44777,7078,37699,44046,7078,36968,47931,7078,40852,33691,7078,26613,39108,7078,32029,57336,7078,50258
76,140147,7219,132928,73998,7219,66779,36406,7219,29187,159778,7219,152559,79886,7219,72667,35076,7219,27857,43252,7219,36033,39942,7219,32723,38829,7219,31610,31568,7219,24348,33571,7219,26352,43606,7219,36387
77,141365,7241,134123,74543,7241,67301,36590,7241,29348,160458,7241,153216,80220,7241,72978,35179,7241,27937,43260,7241,36019,39800,7241,32558,38391,7241,31150,31523,7241,24281,33335,7241,26094,42873,7241,35631
78,156736,7255,149480,81633,7255,74377,39029,7255,31774,175898,7255,168643,86964,7255,79709,37105,7255,29850,45369,7255,38113,39764,7255,32509,34668,7255,27412,32177,7255,24921,31690,7255,24435,36035,7255,28780
79,158130,7284,150846,82307,7284,75023,39319,7284,32035,176722,7284,169438,87439,7284,80155,37323,7284,30039,45517,7284,38233,39903,7284,32619,34786,7284,27502,32291,7284,25007,31809,7284,24525,36129,7284,28845
80,169252,7280,161972,87782,7280,80502,41553,7280,34273,190341,7280,183060,93610,7280,86330,39454,7280,32173,48405,7280,41125,41945,7280,34664,35698,7280,28417,34003,7280,26722,32969,7280,25689,36497,7280,29217
81,169256,7284,161972,87786,7284,80502,41557,7284,34273,190344,7284,183060,93614,7284,86330,39457,7284,32173,48409,7284,41125,41948,7284,34664,35701,7284,28417,34006,7284,26722,32973,7284,25689,36501,7284,29217
