,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20,Light21,Light22,Light23,Light24,Light25,Light26,Light27,Light28,Light29,Light30,Light31,Light32,Light33,Light34,Light35,Light36,Light37,Light38,Light39,Light40,Light41,Light42,Light43,Light44,Light45
Sensor13,0.002565532445650472,0.0038156460041390413,0.0038156460041390413,0.002565532445650472,0.0013879167990611147,0.0,0.0,0.0,0.0,0.007831651464173679,0.015086845249844945,0.015086845249844945,0.007831651464173679,0.00287278113415692,0.0011353814676716295,0.0,0.0,0.0,0.0209791774193239,0.08457302738746508,0.08457302738746508,0.0209791774193239,0.005271434418008139,0.0016425442206181762,0.0,0.0,0.0,0.029758057629696428,0.18540924671401227,0.18540924671401227,0.029758057629696428,0.006216192132633375,0.001797029403738489,0.0,0.0,0.0,0.01406788059013253,0.04465958490162632,0.04465958490162632,0.01406788059013253,0.004349131158961799,0.001473173594299126,0.0,0.0,0.0
Sensor14,0.0017242161564737088,0.003031025397332719,0.004129575448479168,0.003468799822750769,0.002120502251243433,0.0010845131395885279,0.0,0.0,0.0,0.004077260881421054,0.009881491504155383,0.01663207876561055,0.01258963902539919,0.0056723284806514795,0.0021013703215069187,0.0,0.0,0.0,0.00825862985674719,0.035211601790646384,0.10982840130708633,0.05631013609564431,0.012322687937020538,0.0033894902182183386,0.0011582941230171527,0.0,0.0,0.009518074309424874,0.05383934504681685,0.2643677888446596,0.10269209123421522,0.015830552970495237,0.0038626364115168185,0.0012485851456916837,0.0,0.0,0.006517663000544346,0.02225890381999857,0.051533693720069634,0.032726260388558644,0.009344021072468737,0.002903421143003566,0.0010569787004743058,0.0,0.0
Sensor15,0.0010845131395885279,0.002120502251243433,0.003468799822750769,0.004129575448479168,0.003031025397332719,0.0017242161564737088,0.0,0.0,0.0,0.0021013703215069187,0.0056723284806514795,0.01258963902539919,0.01663207876561055,0.009881491504155383,0.004077260881421054,0.0015543987237937316,0.0,0.0,0.0033894902182183386,0.012322687937020538,0.05631013609564431,0.10982840130708633,0.035211601790646384,0.00825862985674719,0.002327118929051411,0.0,0.0,0.0038626364115168185,0.015830552970495237,0.10269209123421522,0.2643677888446596,0.05383934504681685,0.009518074309424874,0.0025913724677863125,0.0,0.0,0.002903421143003566,0.009344021072468737,0.032726260388558644,0.051533693720069634,0.02225890381999857,0.006517663000544346,0.0020455051616991467,0.0,0.0
Sensor16,0.0025150003253894306,0.0022409883490303773,0.0014957175705756678,0.0,0.0,0.0,0.0,0.0,0.0,0.009174816216237145,0.007831651464173679,0.0037695091994678475,0.0016557471469773463,0.0,0.0,0.0,0.0,0.0,0.051533693720069634,0.032726260388558644,0.009344021072468737,0.002903421143003566,0.0010569787004743058,0.0,0.0,0.0,0.0,0.2643677888446596,0.10269209123421522,0.015830552970495237,0.0038626364115168185,0.0012485851456916837,0.0,0.0,0.0,0.0,0.10982840130708633,0.05631013609564431,0.012322687937020538,0.0033894902182183386,0.0011582941230171527,0.0,0.0,0.0,0.0
Sensor17,0.0022409883490303773,0.0025150003253894306,0.0020094922448929214,0.001222931736823042,0.0,0.0,0.0,0.0,0.0,0.007831651464173679,0.009174816216237145,0.006414800676569524,0.00287278113415692,0.0012313935544832144,0.0,0.0,0.0,0.0,0.032726260388558644,0.051533693720069634,0.02225890381999857,0.006517663000544346,0.0020455051616991467,0.0,0.0,0.0,0.0,0.10269209123421522,0.2643677888446596,0.05383934504681685,0.009518074309424874,0.0025913724677863125,0.0,0.0,0.0,0.0,0.05631013609564431,0.10982840130708633,0.035211601790646384,0.00825862985674719,0.002327118929051411,0.0,0.0,0.0,0.0
Sensor18,0.001752799976553306,0.002418320790022164,0.002418320790022164,0.001752799976553306,0.0010176187445657084,0.0,0.0,0.0,0.0,0.005050805759823169,0.009051357993033263,0.009051357993033263,0.005050805759823169,0.002179494962017742,0.0,0.0,0.0,0.0,0.01406788059013253,0.04465958490162632,0.04465958490162632,0.01406788059013253,0.004349131158961799,0.001473173594299126,0.0,0.0,0.0,0.029758057629696428,0.18540924671401227,0.18540924671401227,0.029758057629696428,0.006216192132633375,0.001797029403738489,0.0,0.0,0.0,0.0209791774193239,0.08457302738746508,0.08457302738746508,0.0209791774193239,0.005271434418008139,0.0016425442206181762,0.0,0.0,0.0
Sensor19,0.001222931736823042,0.0020094922448929214,0.0025150003253894306,0.0022409883490303773,0.0014957175705756678,0.0,0.0,0.0,0.0,0.00287278113415692,0.006414800676569524,0.009174816216237145,0.007831651464173679,0.0037695091994678475,0.0016557471469773463,0.0,0.0,0.0,0.006517663000544346,0.02225890381999857,0.051533693720069634,0.032726260388558644,0.009344021072468737,0.002903421143003566,0.0010569787004743058,0.0,0.0,0.009518074309424874,0.05383934504681685,0.2643677888446596,0.10269209123421522,0.015830552970495237,0.0038626364115168185,0.0012485851456916837,0.0,0.0,0.00825862985674719,0.035211601790646384,0.10982840130708633,0.05631013609564431,0.012322687937020538,0.0033894902182183386,0.0011582941230171527,0.0,0.0
Sensor20,0.0,0.0014957175705756678,0.0022409883490303773,0.0025150003253894306,0.0020094922448929214,0.001222931736823042,0.0,0.0,0.0,0.0016557471469773463,0.0037695091994678475,0.007831651464173679,0.009174816216237145,0.006414800676569524,0.00287278113415692,0.0012313935544832144,0.0,0.0,0.002903421143003566,0.009344021072468737,0.032726260388558644,0.051533693720069634,0.02225890381999857,0.006517663000544346,0.0020455051616991467,0.0,0.0,0.0038626364115168185,0.015830552970495237,0.10269209123421522,0.2643677888446596,0.05383934504681685,0.009518074309424874,0.0025913724677863125,0.0,0.0,0.0033894902182183386,0.012322687937020538,0.05631013609564431,0.10982840130708633,0.035211601790646384,0.00825862985674719,0.002327118929051411,0.0,0.0
Sensor21,0.0,0.001501434562073372,0.004877272241558898,0.021288589244272547,0.13148280724025213,0.2113556811447304,0.038741612343123365,0.007763693465536358,0.0021301665059432844,0.0,0.0014242794107296038,0.004435954737334975,0.01684220550164125,0.0822086102804284,0.12208029883527938,0.0302812445453965,0.006897688791251042,0.00200063785936763,0.0,0.0010337445927931167,0.0026308718710519137,0.007500454525571504,0.016425950349343927,0.020090248234636024,0.009788660979292915,0.003657768246420123,0.001413745372031885,0.0,0.0,0.0013431788623602232,0.0026044393572065803,0.004320750633032422,0.004680487190192115,0.003149720078882095,0.0016894606202432286,0.0,0.0,0.0,0.0,0.001020813313085632,0.0013930254776563958,0.0014565989804516748,0.0011467512065966904,0.0,0.0
Sensor22,0.0,0.0,0.0021301665059432844,0.007763693465536358,0.038741612343123365,0.2113556811447304,0.13148280724025213,0.021288589244272547,0.004877272241558898,0.0,0.0,0.00200063785936763,0.006897688791251042,0.0302812445453965,0.12208029883527938,0.0822086102804284,0.01684220550164125,0.004435954737334975,0.0,0.0,0.001413745372031885,0.003657768246420123,0.009788660979292915,0.020090248234636024,0.016425950349343927,0.007500454525571504,0.0026308718710519137,0.0,0.0,0.0,0.0016894606202432286,0.003149720078882095,0.004680487190192115,0.004320750633032422,0.0026044393572065803,0.0013431788623602232,0.0,0.0,0.0,0.0,0.0011467512065966904,0.0014565989804516748,0.0013930254776563958,0.001020813313085632,0.0
